URL,Texto,Título,Clases CSS,Rel,Encontrado en,Timestamp
https://colombina.com/co-es/quienes-somos/plantas-de-produccion,Plantas de Producción,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585558
https://colombina.com/co-es/login,,,,,https://colombina.com/co-es,2025-10-13T11:37:34.579801
https://colombina.com/co-es/politica-de-tratamiento-de-datos-personales,Políticas de Protección de datos personales,,,,https://colombina.com/co-es,2025-10-13T11:37:34.586084
https://colombina.com/co-es/product/brand/quimbaya,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584232
https://colombina.com/co-es/product/brand/kick-back,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584811
https://colombina.com/co-es/product/brand/choco-disk,Choco Disk,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580345
https://colombina.com/co-es/informacion-legal,Información Legal,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585599
https://colombina.com/co-es/product/category/dulceria,Dulces,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581645
https://colombina.com/co-es/product/brand/chupileta,Chupileta,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581980
https://colombina.com/co-es/sostenibilidad/reportes,Reportes,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585723
https://colombina.com/co-es/product/brand/muuu,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584134
http://stage.colombina.com//uploads/legal/Colombina_terminos-y-condiciones.pdf,Términos y Condiciones,,,,https://colombina.com/co-es,2025-10-13T11:37:34.586146
https://colombina.com/co-es/product/brand/pirulito,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584194
https://colombina.com/co-es/product/brand/snacky,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584271
https://colombina.com/dxp/assets/css/newBlog.css,,,,stylesheet,https://colombina.com/co-es,2025-10-13T11:37:34.579598
https://colombina.com/co-es/product/category/helados,Ver productos,,view-product-btn,,https://colombina.com/co-es,2025-10-13T11:37:34.583110
https://colombina.com/co-es/product/brand/van-camps,Van Camp's,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581159
https://colombina.com/co-es/product/brand/chocmelos,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583394
https://fundacioncolombina.com/,Fundación Colombina,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585743
https://colombina.com/co-es/product/brand/nucita,Nucita,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580900
https://colombina.com/co-es/product/brand/piazza,Piazza,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580919
https://colombina.com/co-es/product/brand/nucita,Nucita,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582356
https://colombina.com/co-es/product/brand/coffee-delight,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583469
https://colombina.com/co-es/product/category/enlatados-de-pescado,Ver productos,,view-product-btn,,https://colombina.com/co-es,2025-10-13T11:37:34.583209
https://colombina.com/co-es/product/brand/splot,Splot,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582529
https://colombina.com/co-es/product/category/chocolateria,Ver productos,,view-product-btn,,https://colombina.com/co-es,2025-10-13T11:37:34.583189
https://colombina.com/co-es/product/brand/mini-bum,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584071
https://colombina.com/co-es/product/brand/splot,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584329
https://colombina.com/co-es/linea-etica,Línea Ética,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582773
https://colombina.com/co-es/product/brand/snacky,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.585131
https://colombina.com/co-es/product/brand/snake,Snake,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581044
https://colombina.com/co-es/product/brand/chocobreak,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584579
https://colombina.com/co-es/product/brand/la-constancia,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584830
https://colombina.com/uploads/legal/Colombina_politica-de-cookies.pdf,Vea nuestra política de cookies,,,,https://colombina.com/co-es,2025-10-13T11:37:34.583052
https://colombina.com/co-es/,,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581533
https://colombina.com/co-es/gestion-de-sostenibilidad,Gestión de Sostenibilidad,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585685
https://colombina.com/co-es/quienes-somos,Quiénes Somos,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582664
https://colombina.com/co-es/product/brand/cafe-buendia,Café Buendía,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581880
https://colombina.com/co-es/linea-etica,Línea Ética,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581333
https://colombina.com/co-es/product/brand/fruly,Fruly,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582079
https://colombina.com/co-es/quienes-somos/,Quiénes Somos,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585519
https://colombina.com/co-es/sostenibilidad/resultados,Resultados,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585704
https://colombina.com/co-es/promociones,Promociones,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582625
https://sostenibilidadcolombina.com,Ver Más,,btn--conoce-mas btn btn-white btn-outline-dark mt-3 know-more know-more--two,,https://colombina.com/co-es,2025-10-13T11:37:34.583248
https://colombina.com/co-es/product/category/helados,Helados,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.579994
https://colombina.com/co-es/product/brand/brinky,Brinky,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581861
https://colombina.com/co-es/product/brand/fun-mix,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583601
https://colombina.com/co-es/product/brand/millows,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584924
https://colombina.com/co-es/proveedores,Proveedores,,,,https://colombina.com/co-es,2025-10-13T11:37:34.583014
https://colombina.com/promociones,Ver promociones,,view-promotion,,https://colombina.com/co-es,2025-10-13T11:37:34.581198
https://colombina.com/co-es/product/category/enlatados-de-pescado,Enlatados de pescado,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581665
https://colombina.com/co-es/product/category/galleteria,Ver productos,,view-product-btn,,https://colombina.com/co-es,2025-10-13T11:37:34.583129
https://colombina.com/co-es/product/brand/grissly,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583622
https://colombina.com/co-es/product/brand/muuu,Muuu,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580881
https://colombina.com/co-es/product/brand/van-camps,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584386
https://colombina.com/co-es/product/brand/chupileta,Chupileta,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580399
https://colombina.com//uploads/legal/Aviso%20de%20privacidad.pdf,Aviso de Privacidad,,,,https://colombina.com/co-es,2025-10-13T11:37:34.586178
https://colombina.com/co-es/product/brand/moments,Moments,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580844
https://colombina.com/co-es/product/brand/fruticas,Fruticas,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580584
https://colombina.com/co-es/blog,Noticias,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582934
https://colombina.com/co-es/product/brand/pirulito,Pirulito,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580945
https://colombina.com/co-es/product/category/cafe,Café,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581601
https://colombina.com/co-es/product/brand/kick-back,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583642
https://fundacioncolombina.com,Fundación Colombina,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582912
https://colombina.com/co-es/product/brand/millows,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584044
https://colombina.com/co-es,Productos,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581556
https://colombina.com/co-es/product/category/helados,Helados,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581706
https://colombina.com/co-es/product/brand/bon-bon-bum,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583299
https://colombina.com/co-es/product/category/snacks,Snacks,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581745
https://colombina.com/co-es/product/brand/crakenas,Crakeñas,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580520
http://colombina.com/blog,Noticias,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585831
https://colombina.com/co-es/gestion-de-sostenibilidad,- Gestión de Sostenibilidad,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581397
https://colombina.com/co-es/product/brand/tipitin,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.585225
https://colombina.com/co-es/quienes-somos/historia,Historia,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585539
https://colombina.com/dxp/assets/css/newpage.css,,,,stylesheet,https://colombina.com/co-es,2025-10-13T11:37:34.579552
https://colombina.com/co-es/product/brand/chocmelos,Chocmelos,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581922
https://colombina.com/co-es/product/brand/brinky,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583336
